2017/10/18 20:47:03 [error] 3868#8360: *450 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.f4106c6532696993f221.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.f4106c6532696993f221.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:48:59 [error] 3868#8360: *476 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.4a16a4ecc698951992f5.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.4a16a4ecc698951992f5.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:49:34 [error] 3868#8360: *478 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.8290f2ff11129859284e.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.8290f2ff11129859284e.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:50:02 [error] 3868#8360: *478 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.46be2bf07b6c8ec345df.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.46be2bf07b6c8ec345df.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:52:42 [error] 3868#8360: *548 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.4390e03e41d9e516d247.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.4390e03e41d9e516d247.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:52:54 [error] 3868#8360: *556 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/js/bootstrap.min.js HTTP/1.1", upstream: "http://[::1]:8081/src/assets/js/bootstrap.min.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:53:11 [error] 3868#8360: *556 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/js/bootstrap.min.js HTTP/1.1", upstream: "http://[::1]:8081/src/assets/js/bootstrap.min.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:53:36 [error] 3868#8360: *556 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.27284a8f136141b87a1f.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.27284a8f136141b87a1f.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:53:52 [error] 3868#8360: *548 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.c67c051fea41e2c7fa69.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.c67c051fea41e2c7fa69.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:54:17 [error] 3868#8360: *550 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.e49fd2deed7021c24fb2.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.e49fd2deed7021c24fb2.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:54:40 [error] 3868#8360: *565 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.5cca6ca37f72274aca6a.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.5cca6ca37f72274aca6a.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:54:54 [error] 3868#8360: *548 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/0.af176772f7d5c0cba047.hot-update.js HTTP/1.1", upstream: "http://[::1]:8081/dist/0.af176772f7d5c0cba047.hot-update.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:55:14 [error] 3868#8360: *556 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/js/bootstrap.min.js HTTP/1.1", upstream: "http://[::1]:8081/src/assets/js/bootstrap.min.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:55:27 [error] 3868#8360: *566 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/js/bootstrap.min.js HTTP/1.1", upstream: "http://[::1]:8081/src/assets/js/bootstrap.min.js", host: "localhost:82", referrer: "http://localhost:82/"
